AD-SaUDA	Universitat_d'Andorra
AR-BaCIN	CIN
AR-BaMM	Museo_Mitre
AR-BaU	Universidad_de_Buenos_Aires
AR-CdU	Universidad_Nacional_de_Córdoba
AR-LpU	Universidad_Nacional_de_La_Plata
AR-PiUA	Universidad_Austral
AsGTU	Technische_Universität_Graz
AT-4:OOeLB	Oberösterreichische_Landesbibliothek
AT-9:STLBW	Wienbibliothek_im_Rathaus
AT-AKW	AK_Bibliothek_Wien_für_Sozialwissenschaften
AT-LAW	Wiener_Stadt-_und_Landesarchiv
AT-LBST	Steiermärkische_Landesbibliothek
AT-LMK	Kärntner_Landesbibliothek
AT-NOeLB	Niederösterreichische_Landesbibliothek
AT-OOeLB	Oberösterreichische_Landesbibliothek
AT-UBAW	Universitätsbibliothek_der_Universität_für_angewandte_Kunst_Wien
AT-WBR	Wienbibliothek_im_Rathaus
AuArU	University_of_New_England
AuAU	University_of_Adelaide
AU-BbSAE	SAE_Institute
AU-CaNG	National_Gallery_of_Australia
AuClM	Monash_University
AuCNL	National_Library_of_Australia
AuHU	University_of_Tasmania
AuKU	University_of_New_South_Wales
AuMuU	Murdoch_University
AuMU	University_of_Melbourne
AuNaG	Griffith_University
AuNcU	University_of_Newcastle
AuNeU	University_of_Western_Australia
AuNrM	Macquarie_University
AU-RhCQU	Central_Queensland_University
AuSU	University_of_Sydney
AuU	Australian_National_University
BE-GnHG	Hogeschool_Gent
BeLU	Université_de_Liège
BE-MoUCM	Facultés_universitaires_catholiques_de_Mons
BE-NaUND	Facultés_universitaires_Notre-Dame_de_la_Paix
BR-BhUEM	Universidade_do_Estado_de_Minas_Gerais
BR-BhUFM	Universidade_Federal_de_Minas_Gerais
BR-BrUNB	Universidade_de_Brasília
BR-CbT	Telefonica
BR-CrUES	Universidade_do_Extremo_Sul_Catarinense
BR-CuPUC	Pontifícia_Universidade_Católica_do_Paraná
BR-CuUPA	Universidade_Federal_do_Paraná
BR-CuUTF	Universidade_Tecnológica_Federal_do_Paraná
BR-FlUSC	Universidade_Federal_de_Santa_Catarina
BR-PaURS	Universidade_Federal_do_Rio_Grande_do_Sul
BR-RjIME	Instituto_Militar_de_Engenharia
BR-RjMHN	Museu_Histórico_Nacional
BR-RjPUC	Pontifícia_Universidade_Católica_do_Rio_de_Janeiro
BR-RjUF	Universidade_Federal_do_Rio_de_Janeiro
BR-SpU	Universidade_de_São_Paulo
BR-SsUC	Universidade_Católica_de_Santos
BR-SvUFB	Universidade_Federal_da_Bahia
BR-TbUSS	Universidade_do_Sul_de_Santa_Catarina
CH-AaAKB	Aargauer_Kantonsbibliothek
CH-GeWMO	World_Meteorological_Organization
CH-GeWTO	World_Trade_Organization
CL-CcUBB	Universidad_del_Bío-Bío
CL-SaECL	Economic_Commission_for_Latin_America_and_the_Caribbean
ClSaUC	Universidad_de_Chile
ClVaU	Universidad_de_Valparaíso
CO-BoICC	Instituto_Caro_y_Cuervo
CO-BoPUJ	Pontificia_Universidad_Javeriana
CrU	Universidad_de_Costa_Rica
CY-NiOU	Open_University_of_Cyprus
DE-101	Deutsche_Nationalbibliothek
DE-1022	Bücherei_im_Bahnhof
DE-106	Städtische_Bibliotheken_Dresden
DE-1070	Bücherei
DE-1079	Stadtbibliothek_Göppingen
DE-107	Pfälzische_Landesbibliothek_Speyer
DE-109	Amerika-Gedenkbibliothek
DE-109	Zentral-_und_Landesbibliothek_Berlin
DE-110	Fürstliche_Bibliothek_Corvey
DE-111	Anhaltische_Landesbücherei
DE-115	Stadtbibliothek_Hannover
DE-11	Universitätsbibliothek_der_Humboldt-Universität_zu_Berlin
DE-121	Stadtbibliothek_Trier
DE-121	Vorlage:Infobox_Bibliothek/Doku
DE-1229	Stadtbibliothek_Weil_am_Rhein
DE-1238	Stadtbibliothek_Gotha
