A 2	DE-A2
A 5	DE-A5
A 96	DE-A96
A 98	DE-A98
Abg 1	DE-Abg1
Ae 1	DE-Ae1
Ae 2	DE-Ae2
Aft 1	DE-Aft1
Air 1	DE-Air1
Al 1	DE-Al1
Al 3	DE-Al3
Al 4	DE-Al4
Alf 1	DE-Alf1
Alg 1	DE-Alg1
Alt 3	DE-Alt3
Alz 1	DE-Alz1
AM 1	DE-Am1
An 2	DE-An2
Arb 1	DE-Arb1
Arb 2	DE-Arb2
Arb 3	DE-Arb3
Arn 1	DE-Arn1
As 1	DE-Q1
As 3	DE-As3
As 4	DE-As4
As 5	DE-As5
Atg 1	DE-Atg1
Au 1	DE-Au1
Au 2	DE-Au2
Au 3	DE-Au3
Aug 3	DE-Aug3
Aug 4	DE-Aug4
Aug 5	DE-Aug5
Aug 6	DE-Aug6
Aug 7	DE-Aug7
B 103	DE-B103
B 106	DE-B106
B 107	DE-B107
B 108	DE-B108
B 113	DE-B113
B 11	DE-B11
B 11a	DE-B11a
B 11b	DE-B11b
B 11c	DE-B11c
B 11d	DE-B11d
B 11e	DE-B11e
B 11f	DE-B11f
B 11g	DE-B11g
B 11h	DE-B11h
B 11i	DE-B11i
B 11k	DE-B11k
B 11m	DE-B11m
B 11n	DE-B11n
B 11o	DE-B11o
B 11p	DE-B11p
B 11q	DE-B11q
B 11r	DE-B11r
B 11s	DE-B11s
B 11t	DE-B11t
B 11u	DE-B11u
B 11v	DE-B11v
B 11w	DE-B11w
B 12	DE-B12
B 1503	DE-B1503
B 1504	DE-B1504
B 1505	DE-B1505
B 1507	DE-B1507
B 1509	DE-B1509
B 1511	DE-B1511
B 1512	DE-B1512
B 1513	DE-B1513
B 1514	DE-B1514
B 1518	DE-B1518
B 1521	DE-B1521
B 1524	DE-B1524
B 1525	DE-B1525
B 1526	DE-B1526
B 1527	DE-B1527
B 1528	DE-B1528
B 1529	DE-B1529
B 1530	DE-B1530
B 1531	DE-B1531
B 1532	DE-B1532
B 1533	DE-B1533
B 1534	DE-B1534
B 1535	DE-B1535
B 1536	DE-B1536
B 1537	DE-B1537
B 1538	DE-B1538
B 1539	DE-B1539
B 1541	DE-B1541
B 1542	DE-B1542
B 1543	DE-B1543
B 1544	DE-B1544
B 1545	DE-B1545
B 1546	DE-B1546
B 1547	DE-B1547
B 1548	DE-B1548
B 1549	DE-B1549
B 1550	DE-B1550
B 1552	DE-B1552
B 1553	DE-Bo109
B 1555	DE-B1555
B 1556	DE-B1556
B 1557	DE-B1557
B 1558	DE-B1558
B 1559	DE-B1559
B 1561	DE-B1561
B 1562	DE-B1562
B 1563	DE-B1563
B 1564	DE-B1564
B 1565	DE-B1565
B 15	DE-B15
B 161	DE-B161
B 170	DE-B170
B 171	DE-B171
B 177	DE-B177
B 183	DE-B183
B 184	DE-B184
B 185	DE-B185
B 19	DE-B19
B 198	DE-B198
B 196	DE-B196
B 2001	DE-B2001
B 2012	DE-B2012
B 2018	DE-B2018
B 2023	DE-B2023
B 2025	DE-B2025
B 2026	DE-B2026
B 2031	DE-B2031
B 2042	DE-B2042
B 2053	DE-B2053
B 2081	DE-B2081
B 208	DE-B208
B 2096	DE-B2096
B 212	DE-B212
B 2136	DE-B2136
B 2138	DE-B2138
B 2139	DE-B2139
B 2162	DE-B2162
B 2170	DE-B2170
B 219	DE-B219
B 220	DE-B220
B 2211	DE-587a
B 2222	DE-B2222
B 2223	DE-B2223
B 2224	DE-B2224
B 2226	DE-B2226
B 2227	DE-B2228
B 2228	DE-B2228
B 224	DE-B224
B 23	DE-B23
B 232	DE-B232
B 243	DE-B243
B 249	DE-B249
B 250	DE-B250
B 259	DE-B259
B 30	DE-B30
B 314	DE-B314
B 33	DE-B33
B 404	DE-B404
B 41	DE-B41
B 424	DE-B424
B 433	DE-B433
B 451	DE-B451
B 452	DE-B452
B 456	DE-B456
B 457	DE-B457
B 458	DE-B458
B 459	DE-B459
B 460	DE-B460
B 461	DE-B461
B 462	DE-B462
B 478	DE-B478
B 479	DE-B479
B 486	DE-B486
B 48	DE-B48
B 496	DE-B496
B 4	DE-B4
B 513	DE-B513
B 523	DE-B523
B 524	DE-B524
B 531	DE-B531
B 554	DE-B554
B 557	DE-B557
B 559	DE-B559
B 567	DE-B567
B 584	DE-B584
B 664	DE-B664
B 66	DE-B66
B 683	DE-B683
B 685	DE-B685
B 69	DE-B69
B 700	DE-B700
B 702	DE-B702
B 703	DE-B703
B 704	DE-B704
B 705	DE-B702
B 707	DE-B707
B 709	DE-B709
B 710	DE-B710
B 711	DE-B711
B 712	DE-B712
B 713	DE-B713
B 714	DE-B714
B 717	DE-B717
B 718	DE-B718
B 719	DE-B719
B 720	DE-109-720
B 721	DE-B721
B 724	DE-B724
B 725	DE-B725
B 729	DE-B729
B 741	DE-B741
B 746	DE-B746
B 747	DE-B747
B 749	DE-B749
B 758	DE-B758
B 763	DE-B763
B 768	DE-B768
B 769	DE-B769
B 770	DE-B770
B 772	DE-B772
B 774	DE-B774
B 775	DE-B775
B 785	DE-B785
B 787	DE-B787
B 788	DE-B788
B 791	DE-B791
B 797	DE-B797
B 85	DE-B85
B 99	DE-B99
Ba 4	DE-Ba4
Bal 1	DE-Bal1
Bb 19	DE-Bb19
Bb 22	DE-Bb22
Bb 23	DE-Bb23
Bb 24	DE-Bb24
Bb 3	DE-Bb3
Bbg 10	DE-Bbg10
Bbg 7	DE-Bbg7
Bbg 8	DE-Bbg8
Bch 1	DE-Bch1
Be 1	DE-Be1
Bed 1	DE-Bed1
Ben 1	DE-Ben1
Ber 5	DE-Ber5
Ber 7	DE-Ber7
Bet 1	DE-Bet1
Bue 1	DE-Bue1
Bg 1	DE-Bg1
Bg 2	DE-Bg2
Bha 1	DE-Bha1
Bhv 1	DE-Bhv1
Bi 10	DE-Bi10
Bi 12	DE-Bi12
Bi 13	DE-Bi13
Bi 14	DE-Bi14
Bi 15	DE-Bi15
Bi 16	DE-Bi16
Bi 5	DE-Bi5
Bi 7	DE-131
Bi 8	DE-Bi15
Bib 1	DE-Bib1
Bin 1	DE-Bin1
Bit 3	DE-Bit3
Bit 4	DE-Bit4
Bm 1	DE-Bm1
Bm 2	DE-Bm2
Bm 3/2	DE-Bm3-2
Bm 3/3	DE-Bm3-3
Bm 3/4	DE-Bm3-4
Bm 11	DE-294-11
Bm 18	DE-294-18
Bm 39	DE-294-39
Bm 3	DE-Bm3
Bm 40	DE-Bm40
Bm 41	DE-Bm3
Bm 53	DE-Bm53
Bm 54	DE-Bm54
Bm 55	DE-Bm55
Bm 5	DE-Bm5
Bn 1	DE-Bn1
Bn 3	DE-Bn3
Bo 101	DE-Bo101
Bo 102	DE-Bo102
Bo 104	DE-Bo104
Bo 109	DE-Bo109
Bo 110	DE-Bo110
Bo 111	DE-Bo111
Bo 116	DE-Bo116
Bo 124	DE-Bo124
Bo 125	DE-Bo125
Bo 127	DE-Bo127
Bo 129	DE-Bo129
Bo 130	DE-Bo130
Bo 131	DE-Bo131
Bo 133	DE-Bo133
Bo 145	DE-Bo145
Bo 146	DE-Bo146
Bo 147	DE-Bo147
Bo 149	DE-Bo149
Bo 151	DE-Bo151
Bo 152	DE-Bo152
Bo 153	DE-Bo153
Bo 155	DE-Bo155
Bo 170	DE-Bo170
Bo 171	DE-Bo171
Bo 172	DE-Bo172
Bo 174a	DE-Bo174a
Bo 174	DE-Bo174
Bo 176	DE-Bo176
Bo 180	DE-Bo180
Bo 196	DE-Bo196
Bo 1	DE-Bo1
Bo 206	DE-Bo206
Bo 27	DE-Bo27
Bo 400	DE-Bo400
Bo 401	DE-Bo401
Bo 403	DE-Bo403
Bo 404	DE-Bo404
Bo 405	DE-Bo405
Bo 406	DE-Bo406
Bo 407	DE-Bo407
Bo 408	DE-Bo408
Bo 409	DE-Bo409
Bo 40	DE-Bo40
Bo 410	DE-Bo410
Bo 411	DE-B1565
Bo 412	DE-Bo412
Bo 56	DE-Bo56
Bo 57	DE-Bo57
Bo 59	DE-Bo59
Bol 1	DE-Bol1
Bor 4	DE-Bor4
Bra 1	DE-Bra1
Bre 10	DE-Bre10
Bre 11	DE-Bre11
Bre 12	DE-Bre12
Bre 13	DE-Bre13
Bre 1	DE-Bre1
Bre 2	DE-Bre2
Bre 3	DE-Bre3
Bre 4	DE-Bre4
Bret 1	DE-Bret1
Bret 2	DE-Bret2
Brg 1	DE-Brg1
Brg 2	DE-Brg2
Brg 3	DE-Brg3
Brg 5	DE-Brg5
Brg 6	DE-Brg6
Bri 1	DE-Bri1
Bri 2	DE-Bri2
Brl 1	DE-Brl1
Bs 32	DE-Bs32
Bs 66	DE-Bs66
BS 68	DE-Bs68
Bs 71	DE-Bs71
Bs 72	DE-Bs72
Bs 74	DE-Bs74
Bs 75	DE-Bs75
Bs 77	DE-Bs77
BS 78	DE-Bs78
Bs 80	DE-Bs80
Bs 81	DE-Bs81
Bs 82	DE-Bs82
Bs 83	DE-Bs83
Bs 84	DE-Bs84
Bs 85	DE-Bs85
Bs 86	DE-Bs86
Bs 87	DE-Bs87
Bst 1	DE-Bst1
Bue 1	DE-Bue1
Buer 1	DE-Buer1
Bv 2	DE-Bv2
Bv 3	DE-Bv3
Bw 1	DE-Bw1
Ca 2	DE-Ca2
Cas 1	DE-Cas1
Cb 1	DE-Cb1
Ce 4	DE-Ce4
Ce 5	DE-Ce5
